study	title	journal	year_published	model_name	sector_included	target_year	spatial_scope	justice_primary_focus	implicit/explicit_justice	justice_tenet	dimension_of_distribution	equity_factor	equity_principles	point_of_integration	handled_in_model	spatial_scale	link
Bertsch & Fichtner, 2016	A participatory multi-criteria approach for power generation and transmission planning	Annals of Operations Research	2016	PERSEUS-NET	power system	2025	Germany	No	implicit	procedural				storylines, scenarios, input parameters, model output		meso	https://doi.org/10.1007/s10479-015-1791-y
Bolwig et al., 2020	Climate-friendly but socially rejected energy-transition pathways: The integration of techno-economic and socio-technical approaches in the Nordic-Baltic region.	Energy Research & Social Science	2020	BALMOREL	power and heat	2050	Nordic-Baltic	No	implicit	distributional	spatial	electricity prices and revenues, allocation of energy technologies, consumer cost of electricity	not defined	storylines, scenarios, input parameters	scenarios – cost multiplier for onshore wind and transmission lines	meso	https://doi.org/10.1016/j.erss.2020.101559
Chapman & Pambudi, 2018	Strategic and user-driven transition scenarios: Toward a low carbon society, encompassing the issues of sustainability and societal equity in Japan.	Journal of Cleaner Production	2018	MARKAL/TIMES	energy system	2050	Japan	Yes	explicit	distributional, procedural	societal						
Chen et al., 2022	Balancing GHG mitigation and land-use conflicts: Alternative Northern European energy system scenarios.	Applied Energy	2022	BALMOREL	power and heat	2040	Northern Europe	No	implicit	distributional	spatial 	allocation of energy technologies	not defined	modelling process	MGA	meso	https://doi.org/10.1016/j.apenergy.2022.118557
Christ et al., 2017	Wind Energy Scenarios for the Simulation of the German Power System Until 2050: The Effect of Social and Ecological Factors.	N/A	2017	renpass	power system	2050	Germany	No	implicit	distributional	spatial	allocation of wind power	equality	storylines, scenarios, input parameters and modelling process	scenarios – considering regional burden level	micro, meso	https://doi.org/10.1007/978-3-319-44711-7_14
Drechsler et al., 2017	Efficient and equitable spatial allocation of renewable power plants at the country scale.	Nature Energy	2017	ELMOD-DE	power system	2012	Germany	Yes	explicit	distributional	spatial	allocation of energy technologies	equality	modelling process	multi-objective genetic algorithm	meso	https://doi.org/10.1038/nenergy.2017.124
Fell et al., 2020	Capturing the distributional impacts of long-term low-carbon transitions.	Environmental Innovation and Societal Transitions	2020	ESME	energy system	2050	United Kingdom	Yes	explicit	distributional, procedural	societal	socio-economic indicators	not defined	modelling process	model coupling		https://doi.org/10.1016/j.eist.2019.01.007
Fitiwi et al., 2020	Power system impacts of community acceptance policies for renewable energy deployment under storage cost uncertainty	Renewable Energy	2020	ENGINE	power system	2030	Ireland	No	implicit	distributional	spatial	allocation of wind power	not defined	storylines, scenarios, input parameters	scenarios – restricting technology investment	meso	https://doi.org/10.1016/j.renene.2020.03.110
Flachsbarth et al., 2021	Addressing the Effect of Social Acceptance on the Distribution of Wind Energy Plants and the Transmission Grid in Germany.	Energies	2021	PowerFlex-Grid	power system	2030	Germany	No	implicit	distributional	spatial	allocation of wind power	equality	storylines, scenarios, input parameters	scenarios – considering regional burden level	micro, meso	https://doi.org/10.3390/en14164824 
Fortes et al., 2015	Long-term energy scenarios: Bridging the gap between socio-economic storylines and energy modeling.	Technological Forecasting and Social Change	2015	TIMES-PT	energy system	2050	Portugal	No	implicit	procedural				storylines, scenarios, input parameters	socio-techincal scenarioos	meso	https://doi.org/10.1016/j.techfore.2014.02.006
Grimsrud et al., 2020	Efficient spatial allocation of wind power plants given environmental externalities due to turbines and grids	N/A	2020	TIMES-Norway	energy system	2050	Norway	No	implicit	distributional	spatial	allocation of wind power	not defined	storylines, scenarios, input parameters and modelling process	environmental costs included	meso	https://www.ssb.no/en/forskning/discussion-papers/_attachment/430436?_ts=174494097a0
Koecklin et al., 2021	Public acceptance of renewable electricity generation and transmission network developments: Insights from Ireland.	Energy Policy	2021	ENGINE	power system	2030	Ireland	No	implicit	distributional	spatial	allocation of wind power and transmission lines	not defined	storylines, scenarios, input parameters	scenarios – restricting technology investment	meso	https://doi.org/10.1016/j.enpol.2021.112185
Li et al., 2016	Regional winners and losers in future UK energy system transitions.	Energy Strategy Reviews	2016	ESME	energy system	2050	United Kingdom	Yes	implicit	distributional, procedural	spatial and societal	allocation of energy technologies and costs	not defined	storylines, scenarios, input parameters	Socio-technical scenarios		https://doi.org/10.1016/j.esr.2016.08.002
Lombardi et al., 2020	Policy Decision Support for Renewables Deployment through Spatially Explicit Practically Optimal Alternatives.	Joule	2020	Calliope	power system	2050	Italy	No	implicit	distributional	spatial	allocation of energy technologies	not defined	modelling process	MGA	meso	https://doi.org/10.1016/j.joule.2020.08.002
McDowall, 2012	Possible Hydrogen Transitions in the UK: Critical Uncertainties and Possible Decision Points.	Energy Procedia	2012	UK MARKAL	energy system	2050	United Kingdom	No	implicit	procedural				storylines, scenarios, input parameters	scenarios – influenced by stakeholders	meso	
